institute code,institute name,branch code,course name,status,university,category,rank,percentile,gender,quota,category(1),branch,year,cap round
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GOPENS,39713,88.2484746,G,S,OPEN,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GSCS,41066,87.9159305,G,S,SC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GVJS,49772,85.1139120,G,S,VJ,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GOBCS,44576,86.6827486,G,S,OBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,GSEBCS,70376,78.4342571,G,S,SEBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,LOPENS,34638,89.8391608,L,S,OPEN,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,LVJS,52805,84.1131441,L,S,VJ,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,LOBCS,36248,89.2945239,L,S,OBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,LSEBCS,90850,71.1730870,L,S,SEBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,TFWS,43095,87.2335313,T,S,TFWS,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,DEFROBCS,73224,77.1631566,D,S,OBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,EWS,38374,88.6801020,E,S,EWS,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,PWDOPENS,40339,88.0599617,P,S,PWD,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,PWDOBCS,44243,86.7202099,P,S,PWD,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100219110,Civil Engineering,Government Autonomous,Unknown,ORPHAN,41077,87.9159305,O,N,ORPHAN,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GOPENS,9629,97.2320377,G,S,OPEN,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GSCS,22376,93.5154990,G,S,SC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GVJS,14098,95.9705160,G,S,VJ,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GNT1S,19945,94.2525900,G,S,NT1,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GOBCS,9801,97.1954276,G,S,OBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,GSEBCS,17628,94.9067632,G,S,SEBC,B.Tech,2025,2
'01002,"Government College of Engineering, Amravati",'0100224210,Computer Science and Engineering,Government Autonomous,Unknown,LOPENS,9339,97.3358402,L,S,OPEN,B.Tech,2025,2
